source,target,weight,avg_streams,hyperbolic_distance
deep german hip hop,hamburg hip hop,10,4640455.0,1.9465101957321167
colombian pop,trap argentino,9,113695135.8,4.153985500335693
pop reggaeton,trap argentino,9,113695135.8,4.5118584632873535
dance pop,r&b,9,63922371.375,2.1228981018066406
big room,edm,9,40003001.25,0.2602538466453552
detroit hip hop,pop rap,9,28766706.85714286,1.5435444116592407
detroit hip hop,rap,9,28766706.85714286,1.428687572479248
bmore,dance pop,9,69108938.375,3.1676840782165527
dance pop,moombahton,9,69108938.375,4.323291778564453
australian dance,pop,9,18314769.666666668,3.5564048290252686
electronic trap,pop rap,9,105901198.375,6.942085266113281
dance pop,trap latino,9,109051774.66666669,4.523663520812988
pop,puerto rican pop,9,151890445.0,4.392862319946289
pop,swedish pop,9,32959348.0,0.7361484169960022
swedish pop,tropical house,9,32959348.0,1.924151062965393
dance pop,swedish pop,9,11493748.666666664,2.792452096939087
edm,trap,9,112576784.83333331,7.105308532714844
melodic rap,miami hip hop,9,17545547.57142857,3.2826874256134033
canadian hip hop,southern hip hop,9,114430116.33333331,2.703115940093994
canadian pop,hip hop,9,127244345.42857143,5.673274517059326
southern hip hop,toronto rap,9,114430116.33333331,3.3413314819335938
philly rap,rap,9,75864811.14285715,1.3485832214355469
atl trap,melodic rap,9,95226910.875,1.4979946613311768
melodic rap,post-teen pop,9,73274056.88888891,7.3127665519714355
contemporary country,post-teen pop,9,61628746.33333334,4.149266242980957
rap,reggaeton flow,9,63734858.8,3.082984685897827
rap latina,tropical,9,68184975.14285715,5.045332431793213
conscious hip hop,pop,9,34308562.428571425,7.184624671936035
atl hip hop,post-teen pop,9,55159742.77777778,6.114615440368652
dance pop,melodic rap,9,54220153.66666666,5.422901153564453
post-teen pop,r&b,9,110118414.5,4.215480327606201
melodic rap,underground hip hop,9,35764971.0,1.830901861190796
brostep,pop,9,118112021.25,4.612177848815918
hip hop,trap soul,9,5421875.0,4.7809224128723145
reggaeton,tropical house,9,107988208.33333331,6.572073936462402
r&b en espanol,trap latino,8,105012318.625,4.960909843444824
conscious hip hop,southern hip hop,8,7542735.0,1.5428884029388428
big room,uk dance,8,35775976.6,1.053566336631775
electro house,uk dance,8,35775976.6,0.9091757535934448
detroit hip hop,hip hop,8,28766706.85714286,2.2536237239837646
pop reggaeton,reggaeton flow,8,118585107.42857143,1.0757818222045898
electronic trap,reggaeton,8,111056637.875,7.465688228607178
edm,swedish pop,8,27696137.0,3.796046018600464
canadian pop,southern hip hop,8,118320921.75,5.0655517578125
gangster rap,trap,8,33605324.875,2.6547112464904785
latin pop,reggaeton flow,8,119557086.16666669,4.810988903045654
pop,toronto rap,8,49060660.25,7.278700351715088
atl hip hop,conscious hip hop,8,45414038.375,2.729637861251831
emo rap,pop rap,8,61162548.75,6.674498081207275
rap,rock,8,47366014.2,5.160731315612793
electropop,pop rap,8,99307355.0,5.95481014251709
colombian pop,latin hip hop,8,60094577.28571428,2.279974937438965
